ID,Location,Output,Model,COP,FlowT,OutsideT,Days,installer_name,installer_url,installer_logo,heatgeek,ultimaterenewables,heatingacademy,betateach,youtube,url,share,hp_type,refrigerant,dhw_method,cylinder_volume,dhw_coil_hex_area,new_radiators,old_radiators,fan_coil_radiators,UFH,hydraulic_separation,flow_temp,design_temp,flow_temp_typical,wc_curve,freeze,zone_number,space_heat_control_type,dhw_control_type,dhw_target_temperature,legionella_frequency,legionella_target_temperature,property,floor_area,heat_demand,water_heat_demand,EPC_spaceheat_demand,EPC_waterheat_demand,heat_loss,age,insulation,kwh_m2,electricity_tariff,electricity_tariff_type,electricity_tariff_unit_rate_all,solar_pv_generation,solar_pv_self_consumption,solar_pv_divert,battery_storage_capacity,mid_metering,electric_meter,heat_meter,metering_inc_boost,metering_inc_central_heating_pumps,metering_inc_brine_pumps,metering_inc_controls,indoor_temperature,notes,timestamp,combined_elec_kwh,combined_heat_kwh,combined_cop,combined_data_length,combined_elec_mean,combined_heat_mean,combined_flowT_mean,combined_returnT_mean,combined_outsideT_mean,combined_roomT_mean,combined_prc_carnot,combined_cooling_kwh,running_elec_kwh,running_heat_kwh,running_cop,running_data_length,running_elec_mean,running_heat_mean,running_flowT_mean,running_returnT_mean,running_outsideT_mean,running_roomT_mean,running_prc_carnot,space_elec_kwh,space_heat_kwh,space_cop,space_data_length,space_elec_mean,space_heat_mean,space_flowT_mean,space_returnT_mean,space_outsideT_mean,space_roomT_mean,space_prc_carnot,water_elec_kwh,water_heat_kwh,water_cop,water_data_length,water_elec_mean,water_heat_mean,water_flowT_mean,water_returnT_mean,water_outsideT_mean,water_roomT_mean,water_prc_carnot,from_energy_feeds_elec_kwh,from_energy_feeds_heat_kwh,from_energy_feeds_cop,quality_elec,quality_heat,quality_flowT,quality_returnT,quality_outsideT,quality_roomT
1,"Selby, Yorkshire",11.2 kW,Mitsubishi Ecodan,3.72,36.1,7.4,360,Green Building Renewables,https://www.greenbuildingrenewables.co.uk/,greenbuildingrenewables.png,0,0,0,0,N/A,https://emon.cryosphere.co.uk/ashp,1,Air Source,R32,Cylinder with plate heat exchanger,250,0,1,0,0,0,Low loss header,50,-3,38,0,Glycol/water mixture,1,Room influence only (e.g Auto adapt),Daily scheduled heat up of tank,45,Disabled,0,Detached,134,14000,0,19958,2835,9.5,1940 to 1982,"Cavity wall, plus some loft insulation",104,Agile Octopus,Variable half hourly,12,4000,90,0,8,1,Other pulse output meter (class 1),Sontex heat meter (class 2),0,1,0,1,0,"Actual measured heat loss closer to 5.6 kW. Mostly out-of-the-box room auto-adapt mode, with some external nudges",False,3319.16,12339.1,3.7175369671844685,31128900,383.852,1426.99,29.5807,26.9419,11.6522,18.4248,33.8327,0,3198.2,12315.3,3.8506972672128073,8961620,1284.76,4947.21,36.1131,31.082499999999996,7.42777,18.3918,46.8163,2821.17,11140.8,3.948999883027254,8273830,1227.51,4847.46,35.3799,30.3691,6.95876,18.3905,47.5749,377.029,1174.43,3.1149593267361397,687790,1973.43,6147.13,44.9287,39.6629,13.067699999999999,18.4068,39.44,3296.98,12262.6,3.719343156464401,98.7093,98.7093,98.7093,98.7093,98.7093,94.1859
2,"Llanberis, Gwynedd",5 kW,Mitsubishi Ecodan,4.09,33.2,8.2,352,Trystan Lea (self-install),https://trystanlea.org.uk,N/A,1,0,0,,https://www.youtube.com/watch?v=m2-_x0XZUSM,https://emoncms.org/midterrace,1,Air Source,R410A,Cylinder with coil,150,3,1,0,0,0,None,45,-3,33,0,Central heat pump water circulation,1,Manual flow temperature control,Twice daily scheduled heat up of tank,42,Disabled,55,Mid-terrace,77,8000,2000,18341,3448,4,Pre-1900,Solid walls,104,Octopus Agile,Variable half hourly,18.1,0,0,0,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),0,1,0,1,0,,False,2587.19,10575.8,4.087755441231606,30445500,305.919,1250.52,28.62,25.8819,10.6371,19.134699999999995,39.9141,90.757,2523.29,10407.8,4.124694347459071,13328000,681.554,2811.21,33.2276,29.4356,8.22848,19.2293,44.88890000000001,1796.98,7650.75,4.257559906064619,10422100,620.707,2642.73,31.9674,28.3618,7.761830000000001,19.3142,45.1701,726.312,2757,3.7958893698575817,2905960,899.779,3415.47,37.7473,33.2882,9.90236,18.9256,43.7899,2587.01,10574.4,4.087498695405119,97.613,97.6117,97.6132,97.6132,97.6123,98.4217
3,Manchester,6 kW,NIBE F2040,3.08,33.6,8.3,362,Ecopartners,https://ecopartnersuk.com/,ecopartnersuk.png,0,0,0,0,N/A,https://emoncms.org/zapaman,1,Air Source,R410A,Phase change store,0,0,1,1,0,0,None,45,-3,35,0,Glycol/water mixture,1,Weather compensation with a little room influence,Automatic top up of tank if temperature drops by 6-10C,52,No cylinder,0,Semi-detached,120,7200,1800,12000,3000,3.5,1900 to 1939,"Fully insulated walls, floors and loft",60,Octopus Intelligent,On peak & Off peak,18,2550,71,1,5,1,Other electricity meter,Sontex heat meter (class 2),0,1,0,0,1,NIBE SMO20 control unit with WC. DHW Scheduled blocking to avoid peak times,False,2551.34,7858.2,3.080028534025257,31277100,293.525,904.278,28.2045,26.6538,13.0898,19.703199999999995,33.3642,20.098,2488.08,7776.76,3.1256068936690142,13853000,646.311,2020.95,33.5886,30.345400000000005,8.2913,18.2558,36.9494,2037.54,6721.4,3.298781864405116,12900600,568.625,1875.65,32.6075,29.441700000000004,8.12037,18.2947,37.5096,450.541,1055.36,2.3424283250580964,952430,1702.9100000000003,3989.0599999999995,46.9023,42.6012,10.6098,17.622499999999995,32.9983,2567.18,7924.98,3.08703713802694,99.7019,99.4566,99.7097,99.6931,99.2298,92.915
4,"Llanberis, Gwynedd",5 kW,Samsung Gen 6,4.41,31.9,7.7,363,Glyn Hudson (self-install),https://openenergymonitor.org,openenergymonitor.png,0,0,0,,https://www.youtube.com/watch?v=Hyv_vQEvHgo,https://emoncms.org/samsung5kw,1,Air Source,R32,Cylinder with coil,150,1,1,0,0,0,None,40,-3,35,0,Anti-freeze valves,1,Weather compensation with simple set point control,Twice daily scheduled heat up of tank,42,Other,55,End-terrace,75,7000,1500,14300,2150,4,Pre-1900,Solid walls,100,Octopus Agile,Variable half hourly,12,1100,100,0,9,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,1,Performance update video: https://youtu.be/kkNx2oSO-S4,False,2340.55,10313.5,4.406442930080536,31351000,268.75,1183.37,27.4565,25.6399,10.4635,20.1905,43.2264,68.604,2278.34,10179.5,4.467945960655565,13206900,621.034,2774.77,31.9191,28.8598,7.71975,19.6903,48.148,1756.18,8108.24,4.616975480873259,11789200,536.269,2475.96,30.9671,28.0452,7.4364,19.5756,48.43269999999999,522.161,2071.27,3.9667267375388056,1417690,1325.94,5259.66,39.8376,35.6356,10.0549,20.6431,47.6827,2355.96,10526.5,4.468030017487563,99.4183,99.7611,99.7611,99.7613,98.8927,99.428
5,"Camberley, Surrey",5 kW,Vaillant Arotherm+,4.37,28.5,5.9,260,VitoEnergy,https://www.vitoenergy.co.uk/,vitoenergy.png,1,0,0,0,https://www.youtube.com/watch?v=X6qIP8snPW8,https://emoncms.org/app/view?name=My+Heatpump&readkey=016b2cb10eb6d4c0c7bc1f6f57329a9c,1,Air Source,R290,None,0,0,1,0,0,0,None,45,-3,0,0,Anti-freeze valves,1,"Pure weather compensation, no room influence",Not applicable,0,No cylinder,0,Office building,80,6000,0,0,0,5,1940 to 1982,Non-insulated cavity wall,75,N/A,N/A,0,0,0,0,0,1,SDM120 Modbus/MBUS Single Phase (class 1),Sharky heat meter (class 2),1,1,0,1,0,"VitoEnergy HQ, 6am till 10pm 21C, then 19C setback, no DHW",False,884.719,3868.8,4.372913885651829,22445700,141.889,620.292,23.0303,22.7677,11.4608,22.0762,32.5159,136.624,818.539,3771.13,4.607147613003168,3985750,739.318,3406.15,28.5391,26.0896,5.89136,19.329,48.4965,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,875.675,3918.02,4.4742855511462585,71.2003,81.6358,81.6358,81.6358,80.0551,78.3617
6,Manchester,5 kW,Mitsubishi Ecodan,3.70,37.5,7.1,364,N/A,N/A,N/A,0,0,0,N/A,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=906dee911261b1c9700300d3bad0c83c,1,Air Source,R32,Cylinder with coil,0,0,1,0,0,0,N/A,45,-3,0,0,Central heat pump water circulation,1,Room influence only (e.g Auto adapt),Automatic top up of tank if temperature drops by 3-6C,45,Fornightly,0,Semi-detached,92,9500,0,0,0,3.4,1940 to 1982,Some insulation in walls and loft,103,N/A,N/A,0,0,0,0,0,0,"OpenEnergyMonitor EmonPi v2, EmonTx4 or newer",Sika or Grundfos VFS flow meter,0,1,0,1,0,,False,1910.59,7076.76,3.7039657906719916,31443500,218.745,810.227,30.8217,29.7049,11.1529,14.1683,45.9855,74.918,1777.33,7046.17,3.964469175673623,8449640,757.237,3002.04,37.4655,33.8788,7.14318,14.0905,49.4452,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1910.56,7076.58,3.7039297378778997,99.7066,99.7066,96.5137,96.5137,98.9155,76.0114
7,Weymouth,14 kW,Mitsubishi Ecodan,3.90,39.5,9.9,365,Total Renewable Solutions,https://www.totalrenewablesolutions.com/,totalrenewablesolutions.png,0,0,0,N/A,N/A,https://emoncms.org/app/view?name=HighbanksASHP&readkey=a6242a5576f8fa23493b70dad6c7d9fe,1,Air Source,R32,Cylinder with coil,200,2.5,1,1,0,0,Buffer,0,-3,35,0,Glycol/water mixture,2,Room influence only (e.g Auto adapt),Automatic top up of tank if temperature drops by 6-10C,55,Never,0,Detached,244,27328,0,20972,2916,0,1983 to 2011,"Cavity wall, plus some loft insulation",112,Octopus Go,On peak & Off peak,0,6860,100,1,19,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,0,,False,3937.41,15349.2,3.8982986277781593,31528000,449.59,1752.78,29.4388,27.9303,13.948,21.5339,32.4476,179.47,3808.34,15345.4,4.029419642153799,8393940,1633.32,6581.36,39.4858,36.0926,9.90173,20.8893,49.4679,3560.55,14782.5,4.151746218983022,8047560,1592.78,6612.83,38.8367,35.4446,9.85298,20.8833,50.1782,247.79,562.879,2.2715969167440173,346380,2575.34,5850.12,54.565,51.1523,11.0405,21.027,35.9398,3937.98,15493,3.9342505548529956,99.9746,99.9775,99.9775,99.9775,99.9683,99.9566
8,"Fife, Scotland",7 kW,Vaillant Arotherm+,4.07,33.1,5.1,364,,N/A,N/A,0,0,0,0,N/A,https://emoncms.org/app/view?name=My+Heatpump&readkey=8e2d4547934319f9151a4730fb3e9f21,1,Air Source,R290,Cylinder with coil,200,1.4,1,0,0,0,None,38,-5,31,0.55,Glycol/water mixture,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,42,Disabled,60,Semi-detached,100,16057,4075,21042,2253,6.4,Pre-1900,Some insulation in walls and loft,161,Octopus Agile,Variable half hourly,10.6,950,95,0,14,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,1,"System installed under BEIS EoH trial, system is clearly oversized but I have made improvements to the system to try and maximise efficiency.",False,2574.83,10480.3,4.070288135527393,31486900,294.397,1198.23,23.1889,22.5282,9.96717,17.7475,76.7504,176.438,2502.6,10386.3,4.150203788060417,9606520,937.837,3892.23,33.1053,29.877799999999997,5.11953,17.343,50.0929,2119.15,9057.49,4.274114621428403,8696810,877.206,3749.3,32.0497,28.8652,4.59144,17.3029,50.8443,383.455,1328.84,3.4654392301573846,909710,1517.45,5258.63,43.1959,39.558699999999995,10.1661,17.7274,46.6417,2576.55,10660.9,4.137664706681415,99.9686,99.8589,99.8592,99.8591,100,100
9,Sheffield,5 kW,Vaillant Arotherm+,4.05,32.5,6.9,365,Damon Blakemore,https://blakemoreplumbingandheating.co.uk/,blakemoreplumbingandheating.jpg,1,0,0,https://betatalk.buzzsprout.com/509671/13046892,N/A,https://emoncms.org/energystatsuk,1,Air Source,R290,Cylinder with plate heat exchanger,250,3,1,0,0,0,None,40,-3,0,0.5,Anti-freeze valves,1,Weather compensation with a little room influence,Twice daily scheduled heat up of tank,48,Fornightly,51,Semi-detached,98,9000,0,0,0,5.4,1900 to 1939,Some insulation in walls and loft,92,Octopus Intelligent,On peak & Off peak,14,4200,90,0,16,1,SDM120 Modbus/MBUS Single Phase (class 1),Sontex heat meter (class 2),1,1,0,1,1,https://energy-stats.uk/my-5kw-vaillant-arotherm-heat-pump/,False,2810.9,11396.3,4.054324237788609,31514100,321.102,1301.85,28.7484,26.5735,10.8175,20.5936,41.6671,63.367,2741.99,11243.4,4.100452591001426,14387100,686.11,2813.36,32.482,29.7581,6.88539,19.9057,46.6044,2108.21,8935.89,4.238614749005079,12020000,631.406,2676.29,31.1446,28.4573,6.20974,19.8301,47.9314,633.788,2307.5,3.6408073362070597,2367050,963.9169999999999,3509.43,39.2717,36.3629,10.3155,20.2901,41.5485,2811.43,11396.2,4.053524363046564,99.9306,99.9306,99.9306,99.9306,99.9309,99.6594
10,North Yorkshire,6 kW,Grant Aerona3,4.40,30.5,7.7,361,Gavin Raitt,http://petrog.com/temg/gr/ws/index.html,petrog.png,0,0,0,N/A,N/A,https://emoncms.org/app/view?name=MyHeatpump&readkey=d1f298a94981a240331d3856adb69667,1,Air Source,R32,Cylinder with coil,210,2,1,1,0,0,None,45,-3,35,0,Central heat pump water circulation,1,Weather compensation with simple set point control,Daily scheduled heat up of tank,51,Weekly,60,Detached,165,15500,0,0,0,6.25,1983 to 2011,"Fully insulated walls, floors and loft",94,Intelligent Octopus,On peak & Off peak,0,0,0,1,6,1,SDM120 Modbus/MBUS Single Phase (class 1),Kamstrup heat meter (class 2),0,1,0,1,0,"WC + 3rd party thermostat EPH CP4M. The heat pump is part of a hybrid system, a gas boiler will start to take over at around 0C https://x.com/HeatingGavin/status/1754595754667028672",False,1916.59,8430.92,4.398916826238267,31193400,221.203,970.874,26.0673,25.1006,10.9552,19.5611,39.5058,79.388,1840.48,8420.45,4.575138007476311,11734200,564.722,2583.35,30.4549,27.8249,7.662670000000001,18.5467,49.0833,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1927.11,8706,4.5176455936609745,98.96,99.0766,99.0766,99.0766,98.4018,86.1077
