ID,Location,Output,Model,COP,FlowT,OutsideT,Days,Heat Demand,Floor Area,Heat Demand/Floor Area
63,"Farnham, Surrey",11 kW,Daikin Altherma,3.14,36.8,6.3,351,7520,150,50.13
334,Cornwall,7 kW,Vaillant Arotherm+,4.31,34.7,13.8,5,17918,350,51.19
116,"Gallt-y-foel, Gwynedd",5 kW,Samsung Gen 6,4.63,29.3,7.7,229,7000,133,52.63
211,"Beauly, Invernessshire",7 kW,Vaillant Arotherm+,3.06,33.7,8.2,184,6868,127,54.08
124,North London,7 kW,Vaillant Arotherm+,4.21,34.8,9.1,253,11521,200,57.60
51,"Rushden, Northamptonshire",7 kW,Vaillant Arotherm+,4.15,29.8,7.0,353,11000,190,57.89
258,Hook,7 kW,Vaillant Arotherm+,3.33,38.8,14.0,107,14470,245,59.06
3,Manchester,6 kW,NIBE F2040,3.08,33.6,8.3,362,7200,120,60.00
193,"Lucens, Switzerland",12.7 kW,Daikin Altherma 3 H HT,3.75,29.8,7.2,194,14500,240,60.42
174,"Ealing, London",5 kW,Vaillant Arotherm+,4.44,31.6,10.2,197,11257,170,66.22
279,"London, UK",16 kW,Daikin Altherma 3,1.94,42.0,18.7,78,11940,180,66.33
71,"Market Drayton, Shropshire",8 kW,Samsung Gen 6,3.86,32.1,6.5,326,12000,180,66.67
322,"Heathfield, East-Sussex",4 kW,Viessmann Vitocal 151A,3.06,54.5,19.0,16,8713,128.86,67.62
272,Shetland,8 kW,Vaillant Arotherm+,3.58,36.2,5.1,253,18877,278,67.90
309,"Ware, Hertfordshire",8 kW,Nibe S1156,4.63,26.1,16.4,43,16701,244,68.45
59,Oxford,5 kW,Vaillant Arotherm+,3.72,34.3,6.3,328,7500,109,68.81
81,Haywards Heath,3.5 kW,Vaillant Arotherm+ ,3.75,34.0,7.2,314,7967,115,69.28
75,"Beddgelert, Gwynedd",5 kW,Vaillant Arotherm+,4.36,32.3,7.7,316,8500,120,70.83
231,"Epsom, Surrey",5 kW,Vaillant Arotherm+,4.11,36.4,12.6,138,10037,141,71.18
23,Swindon,9 kW,Daikin Altherma 3,2.49,37.2,12.7,140,10000,140,71.43
162,West Oxfordshire,6 kW,Daikin Altherma 3,3.51,34.4,7.9,250,9436,131,72.03
202,"Robertsbridge, East Sussex",5 kW,Vaillant Arotherm+,4.26,29.8,9.3,158,12040,166,72.53
278,Gwynedd,10 kW,Vaillant Arotherm+,4.79,31.6,10.2,158,13400,184,72.83
158,Manchester,7 kW,Vaillant Arotherm+,4.03,30.6,8.3,219,13881,189,73.44
20,Nottingham,12 kW,Midea,4.18,35.2,13.9,22,11332,153,74.07
5,"Camberley, Surrey",5 kW,Vaillant Arotherm+,4.37,28.5,5.9,260,6000,80,75.00
46,"Mytchett, Surrey",7 kW,Vaillant Arotherm+,4.62,30.7,8.1,354,10500,140,75.00
41,St Albans,5 kW,Vaillant Arotherm+,3.70,36.5,7.1,355,9143,120,76.19
161,"Issum, Germany",14 kW,Midea Nam V10,4.46,32.9,10.6,211,23000,300,76.67
252,"Silkeborg, Denmark",7.6 kW,NIBE S2125,3.60,39.0,17.0,119,15400,200,77.00
114,Cambridgeshire,13 kW,Grant Aerona 3,4.50,33.7,8.4,240,15000,190,78.95
250,Nottingham,5 kW,Samsung Gen 7,2.71,51.5,19.2,123,8163,103,79.25
33,Telford,5 kW,Vaillant Arotherm+,4.23,27.6,8.0,364,11236,140,80.26
138,Derby,8.5 kW,Mitsubishi Ecodan,4.44,31.6,8.1,233,13550,168,80.65
22,Cambridge,8 kW,Samsung HTQ ,3.11,37.0,7.3,362,10897,135,80.72
72,Ipswich,8 kW,Daikin Altherma 3,3.95,33.5,7.9,333,9137,113,80.86
39,"Fleet, Hampshire",12.12 kW,Daikin Altherma 3 H HT,3.35,39.2,7.4,335,13083,160,81.77
149,Harpenden ,8 kW,Viessmann Vitocal 151A,4.61,28.5,8.1,222,14000,170,82.35
281,Middlesex,12 kW,Vaillant Arotherm+,3.34,41.1,16.1,116,20221,245,82.53
76,Bristol UK,7 kW,Daikin Altherma 3,2.94,32.6,8.2,313,6305,75,84.07
