ID,Location,Output,Model,COP,FlowT,OutsideT,Days,Heat Demand,Floor Area,Heat Demand/Floor Area
311,"Saxilby, Lincolnshire UK",12 kW,Midea,8.25,42.0,16.0,44,0,171,0.00
277,York,12 kW,Vaillant Arotherm+,5.44,34.4,15.6,58,0,212,0.00
300,Croxley Green,8 kW,Viessmann Vitocal 150A,5.44,29.7,12.7,47,19380,164,118.17
204,"Caersws, Mid Wales",12 kW,Stiebel Eltron WPE-I 12 H ,5.14,32.7,10.0,183,0,251,0.00
319,"Clunbury, Shropshire",16 kW,Viessmann Vitocal 150A,5.12,33.0,14.1,38,24,180,0.13
66,"Broxburn, West Lothian",12 kW,Nibe S1155 PVT,4.99,33.5,6.9,348,22677,185,122.58
68,Sheffield,10 kW,Viessmann Vitocal 150A,4.97,30.1,5.5,347,18837,133,141.63
292,"Dorking, Surrey",24 kW,2 x Vaillant Arotherm+,4.97,30.0,13.2,65,40783,400,101.96
321,Dereham Norfolk,7 kW,Vaillant Arotherm+,4.95,40.7,21.2,38,0,135,0.00
260,"Northwood, London",7 kW,Vaillant Arotherm+,4.88,34.2,15.3,97,0,198,0.00
153,Finchampstead,7 kW,Vaillant Arotherm+,4.87,32.2,9.8,174,15714,160,98.21
256,Aylesbury ,16 kW,Viessmann Vitocal 150A,4.82,30.0,11.9,134,29556,192,153.94
139,Frimley,5 kW,Vaillant Arotherm+,4.79,28.1,8.6,222,7000,76,92.11
278,Gwynedd,10 kW,Vaillant Arotherm+,4.79,31.6,10.2,158,13400,184,72.83
307,Great Haseley,10 kW,Viessmann Vitocal 151A,4.74,44.2,15.2,45,0,212,0.00
329,Rednal,16 kW,Viessmann Vitocal 150A,4.71,30.9,14.3,26,28397,304,93.41
267,Shetland,12 kW,Stiebel Eltron WPE-I 12 HK 230 Premium,4.69,31.4,12.0,24,0,319,0.00
268,Liphook,5 kW,Vaillant Arotherm+,4.68,31.5,12.6,6,9000,50,180.00
65,Bristol,9 kW,Nibe F2050,4.66,31.7,8.9,347,19209,170,112.99
344,Suffolk,7 kW,Vaillant Arotherm+,4.65,39.4,20.0,4,19089,168,113.62
116,"Gallt-y-foel, Gwynedd",5 kW,Samsung Gen 6,4.63,29.3,7.7,229,7000,133,52.63
239,London,7 kW,Vaillant Arotherm+,4.63,31.5,10.0,183,29029,210,138.23
308,"Hitchin, Hertfordshire",5 kW,Vaillant Arotherm+,4.63,33.1,12.3,131,15400,170,90.59
309,"Ware, Hertfordshire",8 kW,Nibe S1156,4.63,26.1,16.4,43,16701,244,68.45
46,"Mytchett, Surrey",7 kW,Vaillant Arotherm+,4.62,30.7,8.1,354,10500,140,75.00
149,Harpenden ,8 kW,Viessmann Vitocal 151A,4.61,28.5,8.1,222,14000,170,82.35
208,"Goudhurst, Kent",12 kW,Vaillant Arotherm+,4.57,34.4,10.1,183,0,225,0.00
343,"Chorley, Lancashire",5 kW,Vaillant Arotherm+,4.57,33.2,14.7,89,13056,90,145.07
151,Warwick ,5 kW,Vaillant Arotherm+ ,4.56,30.9,7.6,218,13700,96,142.71
176,Crystal Palace,18 kW,2 x NIBE 2050 Cascade,4.56,27.5,12.1,200,35000,300,116.67
280,"Taunton, Somerset",7 kW,Vaillant Arotherm+,4.56,37.2,20.2,74,16107,150,107.38
326,South Devon,8 kW,Riello NXHM,4.56,31.3,21.9,32,0,190,0.00
53,Stroud,5 kW,Vaillant Arotherm+,4.55,28.0,6.7,335,6354,215,29.55
196,Ashstead,12 kW,Vaillant Arotherm+,4.55,33.0,9.4,197,0,300,0.00
254,Angus,7 kW,Vaillant Arotherm+,4.55,28.7,12.6,115,20024,84,238.38
276,Machynlleth,6 kW,Mitsubishi Ecodan,4.54,34.4,10.6,152,0,300,0.00
335,"Burgess Hill, West Sussex",5 kW,Vaillant Arotherm+,4.52,36.7,17.8,16,11013,92,119.71
114,Cambridgeshire,13 kW,Grant Aerona 3,4.50,33.7,8.4,240,15000,190,78.95
146,Thame ,10 kW,Clivet ,4.48,32.6,6.6,189,0,200,0.00
301,"Smalley, Derbyshire",5 kW,Vaillant Arotherm+,4.47,36.8,15.8,3,10733,145,74.02
161,"Issum, Germany",14 kW,Midea Nam V10,4.46,32.9,10.6,211,23000,300,76.67
159,"Cairngorms National Park, Scotland",7 kW,Panasonic J Series,4.45,30.1,2.9,208,0,228,0.00
