ID,Location,Output,Model,COP,FlowT,OutsideT,Days
311,"Saxilby, Lincolnshire UK",12 kW,Midea,8.25,42.0,16.0,44
300,Croxley Green,8 kW,Viessmann Vitocal 150A,5.44,29.7,12.7,47
277,York,12 kW,Vaillant Arotherm+,5.44,34.4,15.6,58
204,"Caersws, Mid Wales",12 kW,Stiebel Eltron WPE-I 12 H ,5.14,32.7,10.0,183
319,"Clunbury, Shropshire",16 kW,Viessmann Vitocal 150A,5.12,33.0,14.1,38
66,"Broxburn, West Lothian",12 kW,Nibe S1155 PVT,4.99,33.5,6.9,348
68,Sheffield,10 kW,Viessmann Vitocal 150A,4.97,30.1,5.5,347
292,"Dorking, Surrey",24 kW,2 x Vaillant Arotherm+,4.97,30.0,13.2,65
321,Dereham Norfolk,7 kW,Vaillant Arotherm+,4.95,40.7,21.2,38
260,"Northwood, London",7 kW,Vaillant Arotherm+,4.88,34.2,15.3,97
153,Finchampstead,7 kW,Vaillant Arotherm+,4.87,32.2,9.8,174
256,Aylesbury ,16 kW,Viessmann Vitocal 150A,4.82,30.0,11.9,134
139,Frimley,5 kW,Vaillant Arotherm+,4.79,28.1,8.6,222
278,Gwynedd,10 kW,Vaillant Arotherm+,4.79,31.6,10.2,158
307,Great Haseley,10 kW,Viessmann Vitocal 151A,4.74,44.2,15.2,45
329,Rednal,16 kW,Viessmann Vitocal 150A,4.71,30.9,14.3,26
267,Shetland,12 kW,Stiebel Eltron WPE-I 12 HK 230 Premium,4.69,31.4,12.0,24
268,Liphook,5 kW,Vaillant Arotherm+,4.68,31.5,12.6,6
65,Bristol,9 kW,Nibe F2050,4.66,31.7,8.9,347
344,Suffolk,7 kW,Vaillant Arotherm+,4.65,39.4,20.0,4
116,"Gallt-y-foel, Gwynedd",5 kW,Samsung Gen 6,4.63,29.3,7.7,229
239,London,7 kW,Vaillant Arotherm+,4.63,31.5,10.0,183
309,"Ware, Hertfordshire",8 kW,Nibe S1156,4.63,26.1,16.4,43
308,"Hitchin, Hertfordshire",5 kW,Vaillant Arotherm+,4.63,33.1,12.3,131
46,"Mytchett, Surrey",7 kW,Vaillant Arotherm+,4.62,30.7,8.1,354
149,Harpenden ,8 kW,Viessmann Vitocal 151A,4.61,28.5,8.1,222
343,"Chorley, Lancashire",5 kW,Vaillant Arotherm+,4.57,33.2,14.7,89
208,"Goudhurst, Kent",12 kW,Vaillant Arotherm+,4.57,34.4,10.1,183
280,"Taunton, Somerset",7 kW,Vaillant Arotherm+,4.56,37.2,20.2,74
326,South Devon,8 kW,Riello NXHM,4.56,31.3,21.9,32
151,Warwick ,5 kW,Vaillant Arotherm+ ,4.56,30.9,7.6,218
176,Crystal Palace,18 kW,2 x NIBE 2050 Cascade,4.56,27.5,12.1,200
254,Angus,7 kW,Vaillant Arotherm+,4.55,28.7,12.6,115
196,Ashstead,12 kW,Vaillant Arotherm+,4.55,33.0,9.4,197
53,Stroud,5 kW,Vaillant Arotherm+,4.55,28.0,6.7,335
276,Machynlleth,6 kW,Mitsubishi Ecodan,4.54,34.4,10.6,152
335,"Burgess Hill, West Sussex",5 kW,Vaillant Arotherm+,4.52,36.7,17.8,16
114,Cambridgeshire,13 kW,Grant Aerona 3,4.50,33.7,8.4,240
146,Thame ,10 kW,Clivet ,4.48,32.6,6.6,189
301,"Smalley, Derbyshire",5 kW,Vaillant Arotherm+,4.47,36.8,15.8,3
161,"Issum, Germany",14 kW,Midea Nam V10,4.46,32.9,10.6,211
159,"Cairngorms National Park, Scotland",7 kW,Panasonic J Series,4.45,30.1,2.9,208
174,"Ealing, London",5 kW,Vaillant Arotherm+,4.44,31.6,10.2,197
138,Derby,8.5 kW,Mitsubishi Ecodan,4.44,31.6,8.1,233
286,Leicester,5 kW,Vaillant Arotherm+,4.42,34.1,0.6,325
209,Aberdeenshire,10 kW,Vaillant Arotherm+,4.41,33.7,7.9,182
248,"Fleet, Hampshire",5 kW,Vaillant Arotherm+,4.41,32.7,14.2,131
4,"Llanberis, Gwynedd",5 kW,Samsung Gen 6,4.41,31.9,7.7,363
10,North Yorkshire,6 kW,Grant Aerona3,4.40,30.5,7.7,361
84,Machynlleth,6 kW,Ecoforest   EcoAir 1-7,4.39,34.1,7.8,314
244,Gloucester ,7 kW,Vaillant Arotherm+,4.39,31.7,10.8,150
5,"Camberley, Surrey",5 kW,Vaillant Arotherm+,4.37,28.5,5.9,260
75,"Beddgelert, Gwynedd",5 kW,Vaillant Arotherm+,4.36,32.3,7.7,316
222,"Foveran, Aberdeenshire",12 kW,Vaillant Arotherm+,4.34,35.5,8.4,164
334,Cornwall,7 kW,Vaillant Arotherm+,4.31,34.7,13.8,5
325,Newcastle,4 kW,Daikin Altherma 3,4.30,35.5,15.6,32
150,Basingstoke Hants,9 kW,Samsung R410a,4.30,36.1,10.3,195
237,Huddersfield,5 kW,Ideal Logic Air,4.28,32.5,9.9,131
202,"Robertsbridge, East Sussex",5 kW,Vaillant Arotherm+,4.26,29.8,9.3,158
16,Gloucestershire,5 kW,Mitsubishi Ecodan,4.25,34.6,6.7,353
33,Telford,5 kW,Vaillant Arotherm+,4.23,27.6,8.0,364
225,Wirral ,5 kW,Ideal Logic Air,4.22,33.0,1.2,157
140,Buckinghamshire,10 kW,Vaillant Arotherm+,4.21,35.5,7.5,284
15,"Newtown, Wales",5 kW,Panasonic 'J' Aquarea,4.21,32.9,0.0,183
124,North London,7 kW,Vaillant Arotherm+,4.21,34.8,9.1,253
282,Newcastle,5 kW,Vaillant Arotherm+,4.18,30.1,9.5,164
20,Nottingham,12 kW,Midea,4.18,35.2,13.9,22
330,Horley,5 kW,Vaillant Arotherm+,4.16,45.2,18.7,5
210,"Farnham, Surrey",7 kW,Vaillant Arotherm+,4.16,34.9,2.7,187
115,"Hatfield, Hertfordshire",5 kW,Vaillant Arotherm+,4.16,32.1,6.8,268
51,"Rushden, Northamptonshire",7 kW,Vaillant Arotherm+,4.15,29.8,7.0,353
143,"Devon, Mid",5 kW,Vaillant Arotherm+,4.13,25.3,8.0,234
231,"Epsom, Surrey",5 kW,Vaillant Arotherm+,4.11,36.4,12.6,138
195,"Louth, Lincolnshire",7 kW,Vaillant Arotherm+,4.10,35.2,8.8,197
338,"Buntingford, Hertfordshire",4 kW,Daikin Altherma 3,4.10,41.9,18.4,12
284,Woodley,7 kW,Vaillant Arotherm+,4.10,41.5,19.2,66
105,"Chelmsford, Essex",11.2 kW,Mitsubishi Ecodan,4.10,30.8,6.4,279
2,"Llanberis, Gwynedd",5 kW,Mitsubishi Ecodan,4.09,33.2,8.2,352
144,Sheffield,5 kW,Vaillant Arotherm+,4.09,32.0,7.1,227
175,Wokingham,7 kW,Vaillant Arotherm+,4.08,34.6,9.1,198
8,"Fife, Scotland",7 kW,Vaillant Arotherm+,4.07,33.1,5.1,364
117,Neath Port Talbot,6 kW,Daikin Altherma 3,4.06,37.4,8.7,259
264,St Albans,7 kW,Vaillant Arotherm+,4.06,48.4,17.7,108
9,Sheffield,5 kW,Vaillant Arotherm+,4.05,32.5,6.9,365
34,Banbury,7 kW,Vaillant Arotherm+,4.05,30.8,6.9,330
154,"High Wycombe, Buckinghamshire",4 kW,Worcester Bosch Compress 5800i,4.04,35.1,9.8,97
158,Manchester,7 kW,Vaillant Arotherm+,4.03,30.6,8.3,219
57,"Dinorwic, Gwynedd",13 kW,Grant Aerona3,4.03,34.7,8.1,319
67,Brighton and Hove,8.5 kW,Mitsubishi Ecodan,4.02,34.0,9.4,311
21,Bristol,7 kW,Vaillant Arotherm+,4.02,31.1,0.0,159
227,Berkhamstead,5 kW,Vaillant Arotherm+,4.01,32.5,11.6,157
167,"Cadross, Dumbarton",10 kW,Nibe S2050 ,4.01,37.1,7.3,269
213,Solihull,8 kW,Viessmann Vitocal 151A,4.00,28.7,9.6,197
241,Glasgow,12 kW,Panasonic Aquarea T-Cap,3.99,38.0,12.9,139
126,East Midlands,11 kW,Daikin Altherma 3,3.96,30.8,7.8,247
60,"Neyland, Pembrokeshire",5 kW,Samsung Gen 6,3.96,39.6,11.1,355
109,St Albans,5 kW,Vaillant Arotherm+,3.96,29.0,7.8,274
37,Kidderminster,7 kW,Acond PRO-N,3.96,34.0,8.1,352
26,Stratford-upon-Avon,7 kW,Vaillant Arotherm+,3.96,34.3,7.7,361
113,Bournemouth,8 kW, Daikin Altherma 3,3.95,34.7,9.7,261
36,Sheffield,11.2 kW,Mitsubishi Ecodan,3.95,39.4,9.3,203
72,Ipswich,8 kW,Daikin Altherma 3,3.95,33.5,7.9,333
238,Guildford,5 kW,Vaillant Arotherm+,3.94,36.2,11.7,148
132,North Yorkshire,11.2 kW,Mitsubishi Ecodan,3.93,36.4,8.4,235
73,Ackworth,8.5 kW,Mitsubishi Ecodan,3.90,33.9,6.6,359
7,Weymouth,14 kW,Mitsubishi Ecodan,3.90,39.5,9.9,365
71,"Market Drayton, Shropshire",8 kW,Samsung Gen 6,3.86,32.1,6.5,326
86,Cambridgeshire,11 kW,Daikin Altherma 3,3.84,35.4,8.9,261
232,Potters Bar,6 kW,Viessmann Vitocal 150A,3.83,32.5,10.2,146
261,Guildford,7 kW,Vaillant Arotherm+,3.82,39.7,16.8,94
243,Towcester,7 kW,Vaillant Arotherm+,3.82,31.6,10.8,156
160,Bristol,5 kW,Vaillant Arotherm+,3.81,32.1,9.0,211
64,Newport,7 kW,Vaillant Arotherm+,3.80,35.0,6.2,343
