ID,Location,Output,Model,COP,FlowT,OutsideT,Days
1,"Selby, Yorkshire",11.2 kW,Mitsubishi Ecodan,3.72,36.1,7.4,360
2,"Llanberis, Gwynedd",5 kW,Mitsubishi Ecodan,4.09,33.2,8.2,352
3,Manchester,6 kW,NIBE F2040,3.08,33.6,8.3,362
4,"Llanberis, Gwynedd",5 kW,Samsung Gen 6,4.41,31.9,7.7,363
5,"Camberley, Surrey",5 kW,Vaillant Arotherm+,4.37,28.5,5.9,260
6,Manchester,5 kW,Mitsubishi Ecodan,3.70,37.5,7.1,364
7,Weymouth,14 kW,Mitsubishi Ecodan,3.90,39.5,9.9,365
8,"Fife, Scotland",7 kW,Vaillant Arotherm+,4.07,33.1,5.1,364
9,Sheffield,5 kW,Vaillant Arotherm+,4.05,32.5,6.9,365
10,North Yorkshire,6 kW,Grant Aerona3,4.40,30.5,7.7,361
11,Derby,8 kW,NIBE F1145,3.48,33.3,5.3,362
12,West Yorkshire,8.5 kW,Mitsubishi Ecodan,3.80,36.8,5.5,175
13,"Machynlleth, Wales",5 kW,Mitsubishi Ecodan,0.01,N/A,N/A,1
14,"Malton, North Yorkshire",14 kW,Mitsubishi Ecodan,3.11,37.8,10.5,217
15,"Newtown, Wales",5 kW,Panasonic 'J' Aquarea,4.21,32.9,0.0,183
16,Gloucestershire,5 kW,Mitsubishi Ecodan,4.25,34.6,6.7,353
17,Weston-super-Mare,7 kW,Daikin Altherma 3,3.32,37.2,8.9,361
20,Nottingham,12 kW,Midea,4.18,35.2,13.9,22
21,Bristol,7 kW,Vaillant Arotherm+,4.02,31.1,0.0,159
22,Cambridge,8 kW,Samsung HTQ ,3.11,37.0,7.3,362
23,Swindon,9 kW,Daikin Altherma 3,2.49,37.2,12.7,140
24,North Hertfordshire,5 kW,Vaillant Arotherm+,3.65,34.6,7.2,298
25,"Sofia, Bulgaria",8 kW,Atlantic Alfea Extensa,3.17,37.7,4.7,264
26,Stratford-upon-Avon,7 kW,Vaillant Arotherm+,3.96,34.3,7.7,361
27,Basingstoke,11 kW,Daikin Altherma 3,3.69,32.7,8.3,331
31,Swansea,11.2 kW,Mitsubishi Ecodan,3.25,36.4,9.0,336
32,Newbury,14 kW,Mitsubishi Ecodan,3.29,37.7,7.4,364
