id, timestamp, combined_elec_kwh, combined_heat_kwh, combined_cop, combined_data_length, combined_elec_mean, combined_heat_mean, combined_flowT_mean, combined_returnT_mean, combined_outsideT_mean, combined_roomT_mean, combined_prc_carnot, combined_cooling_kwh, combined_starts, combined_starts_per_hour, running_elec_kwh, running_heat_kwh, running_cop, running_data_length, running_elec_mean, running_heat_mean, running_flowT_mean, running_returnT_mean, running_outsideT_mean, running_roomT_mean, running_prc_carnot, space_elec_kwh, space_heat_kwh, space_cop, space_data_length, space_elec_mean, space_heat_mean, space_flowT_mean, space_returnT_mean, space_outsideT_mean, space_roomT_mean, space_prc_carnot, water_elec_kwh, water_heat_kwh, water_cop, water_data_length, water_elec_mean, water_heat_mean, water_flowT_mean, water_returnT_mean, water_outsideT_mean, water_roomT_mean, water_prc_carnot, from_energy_feeds_elec_kwh, from_energy_feeds_heat_kwh, from_energy_feeds_cop, quality_elec, quality_heat, quality_flowT, quality_returnT, quality_outsideT, quality_roomT, unit_rate_agile, unit_rate_cosy, unit_rate_go
52,2023-11-14 08:00:00, 0.558, 2.2783, 4.083, 12020, 175.9, 682.3, 25.06, 23.14, 0, 0, 0, 0.006, , , 0.5115, 2.2387, 4.376, 1930, 964.7, 4175.8, 35.74, 31.52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2002, 2, 9.99, 14.063, 13.912, 13.9, 13.889, 0, 0, , , 
52,2023-11-15 08:00:00, 5.5682, 25.6188, 4.601, 86400, 232, 1067.5, 19.99, 18.59, 0, 0, 0, 0.051, , , 5.2555, 25.3542, 4.824, 17100, 1106.4, 5337.7, 37.36, 32.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5679, 26, 4.67, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-16 08:00:00, 5.8734, 28.0404, 4.774, 86400, 244.7, 1168.4, 20.08, 18.33, 0, 0, 0, 0, , , 5.5861, 28.002, 5.013, 17150, 1172.6, 5878, 35.99, 30.08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.874, 28, 4.767, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-17 08:00:00, 7.2354, 33.3763, 4.613, 86400, 301.5, 1390.7, 21.87, 19.91, 0, 0, 0, 0, , , 6.9602, 33.0969, 4.755, 20270, 1236.1, 5878.1, 38.06, 32.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2361, 33, 4.56, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-18 08:00:00, 7.3609, 36.1756, 4.915, 86400, 306.7, 1507.3, 21.98, 20.23, 0, 0, 0, 0, , , 7.0302, 35.447, 5.042, 27640, 915.7, 4616.8, 34.77, 30.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.365, 36, 4.888, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-19 08:00:00, 7.4714, 34.2452, 4.584, 86400, 311.3, 1426.9, 21.91, 20.29, 0, 0, 0, 0, , , 7.1627, 33.5775, 4.688, 25210, 1022.8, 4794.9, 36.65, 31.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.4739, 35, 4.683, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-20 08:00:00, 3.5007, 17.0315, 4.865, 86400, 145.9, 709.6, 18.65, 17.55, 0, 0, 0, 0, , , 3.1874, 16.9554, 5.32, 11580, 990.9, 5271.1, 35.53, 30.13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.502, 17, 4.854, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-21 08:00:00, 6.3983, 28.5467, 4.462, 86400, 266.6, 1189.4, 20.56, 19.2, 0, 0, 0, 0, , , 6.1223, 28.5424, 4.662, 18470, 1193.3, 5563.2, 37.43, 31.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4031, 28, 4.373, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-22 08:00:00, 3.1023, 13.9426, 4.494, 86400, 129.3, 580.9, 16.85, 16.08, 0, 0, 0, 0, , , 2.7483, 13.6321, 4.96, 7640, 1295, 6423.5, 39.6, 33.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.105, 14, 4.509, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-23 08:00:00, 8.0711, 38.7469, 4.801, 86400, 336.3, 1614.5, 24.14, 22.28, 0, 0, 0, 0, , , 7.7598, 38.0172, 4.899, 29800, 937.4, 4592.7, 35.01, 30.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.074, 39, 4.83, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-24 08:00:00, 12.2707, 46.2962, 3.773, 86400, 511.3, 1929, 24.46, 22.24, 0, 0, 0, 0, , , 12.0374, 45.9571, 3.818, 31400, 1380.1, 5269, 39.51, 34.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.2671, 46, 3.75, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-25 08:00:00, 11.8483, 43.2815, 3.653, 86400, 493.7, 1803.4, 20.86, 18.89, 0, 0, 0, 0, , , 11.5696, 43.2419, 3.738, 25220, 1651.5, 6172.5, 37.66, 31.69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.8511, 44, 3.713, 100, 100, 100, 100, 0, 0, , , 
52,2023-11-26 08:00:00, 8.8603, 37.6895, 4.254, 86400, 369.2, 1570.4, 20.69, 18.65, 0, 0, 0, 0, , , 8.5762, 37.6224, 4.387, 22670, 1361.9, 5974.4, 36.6, 30.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.8618, 37, 4.175, 100, 100, 100, 100, 0, 0, , , 
