id, timestamp, combined_elec_kwh, combined_heat_kwh, combined_cop, combined_data_length, combined_elec_mean, combined_heat_mean, combined_flowT_mean, combined_returnT_mean, combined_outsideT_mean, combined_roomT_mean, combined_prc_carnot, combined_cooling_kwh, combined_starts, combined_starts_per_hour, running_elec_kwh, running_heat_kwh, running_cop, running_data_length, running_elec_mean, running_heat_mean, running_flowT_mean, running_returnT_mean, running_outsideT_mean, running_roomT_mean, running_prc_carnot, space_elec_kwh, space_heat_kwh, space_cop, space_data_length, space_elec_mean, space_heat_mean, space_flowT_mean, space_returnT_mean, space_outsideT_mean, space_roomT_mean, space_prc_carnot, water_elec_kwh, water_heat_kwh, water_cop, water_data_length, water_elec_mean, water_heat_mean, water_flowT_mean, water_returnT_mean, water_outsideT_mean, water_roomT_mean, water_prc_carnot, from_energy_feeds_elec_kwh, from_energy_feeds_heat_kwh, from_energy_feeds_cop, quality_elec, quality_heat, quality_flowT, quality_returnT, quality_outsideT, quality_roomT, unit_rate_agile, unit_rate_cosy, unit_rate_go
67, 1698796800, 0.9293, 5.0923, 5.48, 4740, 479.9, 3845.2, 28.37, 26.57, 12.9, 0, 70.541, 0.039, , , 0.9289, 5.1315, 5.524, 3480, 918.8, 5308.5, 31.99, 28.89, 12.69, 0, 50.843, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1304, 34.2126, 5.581, 53.785, 5.521, 100, 100, 100, 0, , , 
67, 1698883200, 10.3825, 54.4832, 5.248, 80810, 459.8, 2397.1, 31.2, 29.01, 10.83, 0, 50.306, 0.502, , , 10.3747, 53.6547, 5.172, 39250, 951.3, 4921.2, 32.35, 29.34, 10.48, 0, 49.906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.3712, 54.0037, 5.207, 94.155, 94.109, 94.271, 94.271, 94.271, 0, , , 
67, 1698969600, 9.9913, 52.8642, 5.291, 85930, 416.6, 2193.9, 29.8, 27.7, 10.04, 0, 54.05, 0.364, , , 9.9839, 52.1249, 5.221, 46980, 765, 3994.2, 32.44, 29.99, 8.81, 0, 53.599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.9895, 52.4679, 5.252, 99.942, 99.931, 100, 100, 100, 0, , , 
67, 1699056000, 9.2741, 54.5838, 5.886, 85950, 386.6, 2261.6, 30.85, 28.89, 10.2, 0, 57.576, 0.433, , , 9.2638, 52.9131, 5.712, 50110, 665.5, 3801.4, 32.42, 30.07, 10.29, 0, 56.217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2492, 54.1122, 5.85, 99.954, 99.954, 100, 100, 100, 0, , , 
67, 1699142400, 9.3764, 50.4932, 5.385, 85720, 390.8, 2088.9, 29.62, 27.25, 9.9, 0, 53.004, 0.664, , , 9.345, 49.7303, 5.322, 43960, 765.3, 4072.5, 32.07, 29.57, 9.49, 0, 52.993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.3851, 50.3152, 5.361, 99.977, 99.988, 89.942, 89.954, 90.567, 0, , , 
67, 1699228800, 9.8752, 51.3364, 5.199, 85680, 412, 2124.9, 30.6, 28.54, 10.32, 0, 49.729, 0.641, , , 9.8682, 50.5424, 5.122, 44350, 800.9, 4102.7, 31.93, 29.41, 10.18, 0, 49.394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.8317, 50.9195, 5.179, 99.954, 99.896, 100, 100, 100, 0, , , 
67, 1699315200, 9.7969, 51.4273, 5.249, 86140, 408.3, 2138.3, 30.07, 28.16, 8.85, 0, 53.78, 0.311, , , 9.7897, 50.5205, 5.161, 50330, 700.2, 3613.6, 32.32, 30.1, 8.96, 0, 52.978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.6336, 50.6552, 5.258, 99.977, 99.977, 100, 100, 100, 0, , , 
67, 1699401600, 9.1051, 54.4658, 5.982, 86070, 379.6, 2261.4, 30.86, 28.86, 10.34, 0, 57.469, 0.315, , , 9.098, 52.3252, 5.751, 51510, 635.9, 3657, 32.54, 30.3, 11.05, 0, 55.476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.0802, 54.1481, 5.963, 99.931, 99.931, 100, 100, 100, 0, , , 
67, 1699488000, 12.6364, 66.4485, 5.259, 85760, 527.1, 2758.2, 31.07, 29.05, 8.65, 0, 53.62, 0.501, , , 12.6192, 64.6074, 5.12, 62790, 723.5, 3704.2, 32.14, 29.88, 8.72, 0, 52.453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.5115, 65.5949, 5.243, 99.954, 99.907, 100, 100, 100, 0, , , 
67, 1699574400, 12.4002, 36.9478, 2.98, 84970, 517, 1540.9, 29.92, 27.92, 6.6, 0, 15.625, 0.509, , , 12.3946, 36.3361, 2.932, 59980, 744, 2180.9, 30.86, 28.5, 6.17, 0, 15.362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.291, 36.9878, 3.009, 100, 99.954, 67.153, 67.164, 64.016, 0, , , 
