id, timestamp, combined_elec_kwh, combined_heat_kwh, combined_cop, combined_data_length, combined_elec_mean, combined_heat_mean, combined_flowT_mean, combined_returnT_mean, combined_outsideT_mean, combined_roomT_mean, combined_prc_carnot, combined_cooling_kwh, combined_starts, combined_starts_per_hour, running_elec_kwh, running_heat_kwh, running_cop, running_data_length, running_elec_mean, running_heat_mean, running_flowT_mean, running_returnT_mean, running_outsideT_mean, running_roomT_mean, running_prc_carnot, space_elec_kwh, space_heat_kwh, space_cop, space_data_length, space_elec_mean, space_heat_mean, space_flowT_mean, space_returnT_mean, space_outsideT_mean, space_roomT_mean, space_prc_carnot, water_elec_kwh, water_heat_kwh, water_cop, water_data_length, water_elec_mean, water_heat_mean, water_flowT_mean, water_returnT_mean, water_outsideT_mean, water_roomT_mean, water_prc_carnot, from_energy_feeds_elec_kwh, from_energy_feeds_heat_kwh, from_energy_feeds_cop, quality_elec, quality_heat, quality_flowT, quality_returnT, quality_outsideT, quality_roomT, unit_rate_agile, unit_rate_cosy, unit_rate_go
66,2023-12-01 08:00:00, 33.8106, 140.768, 4.163, 86380, 1409.1, 5866.7, 37.72, 30.51, -2.75, 0, 65.903, 0.041, 2, 0.08, 33.7889, 140.744, 4.165, 80420, 1512.6, 6300.4, 38.54, 30.82, -2.82, 0, 65.931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.821, 142.667, 4.218, 99.988, 99.977, 99.977, 99.977, 100, 0, , , 
66,2023-12-02 08:00:00, 33.0778, 138.899, 4.199, 86390, 1378.4, 5788.1, 37.68, 30.53, -2.16, 0, 64.362, 0.125, 0, 0, 33.0778, 138.899, 4.199, 86390, 1378.4, 5788.1, 37.68, 30.53, -2.16, 0, 64.362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.0825, 140.333, 4.242, 99.988, 99.988, 99.988, 99.988, 100, 0, , , 
66,2023-12-03 08:00:00, 28.7585, 125.919, 4.378, 86370, 1198.7, 5248.4, 36.62, 30.1, -0.53, 0, 63.502, 0.067, 0, 0, 28.7585, 125.919, 4.378, 86370, 1198.7, 5248.4, 36.62, 30.1, -0.53, 0, 63.502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.7705, 128, 4.449, 99.965, 99.965, 99.965, 99.965, 100, 0, , , 
66,2023-12-04 08:00:00, 24.606, 113.141, 4.598, 86370, 1025.6, 4715.8, 34.97, 29.18, 3.22, 0, 59.162, 0.149, 0, 0, 24.606, 113.141, 4.598, 86370, 1025.6, 4715.8, 34.97, 29.18, 3.22, 0, 59.162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.6185, 114, 4.631, 99.965, 99.965, 99.965, 99.965, 100, 0, , , 
66,2023-12-05 08:00:00, 23.9206, 108.475, 4.535, 86370, 997, 4521.4, 34.2, 28.35, 2.85, 0, 58.872, 0.07, 1, 0.04, 23.9089, 108.434, 4.535, 78700, 1093.7, 4960.1, 34.86, 28.74, 3, 0, 58.881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.9327, 109, 4.554, 99.965, 99.965, 99.965, 99.965, 100, 0, , , 
66,2023-12-06 08:00:00, 30.8616, 131.964, 4.276, 86370, 1286.3, 5500.4, 36.92, 30.12, -0.76, 0, 62.999, 0.024, 0, 0, 30.8616, 131.964, 4.276, 86370, 1286.3, 5500.4, 36.92, 30.12, -0.76, 0, 62.999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.869, 134, 4.341, 99.965, 99.965, 99.965, 99.965, 100, 0, , , 
66,2023-12-07 08:00:00, 21.8886, 103.364, 4.722, 86370, 912.3, 4308.3, 34.09, 28.73, 4.43, 0, 58.394, 0.041, 0, 0, 21.8886, 103.364, 4.722, 86370, 912.3, 4308.3, 34.09, 28.73, 4.43, 0, 58.394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.8947, 104, 4.75, 99.965, 99.965, 99.965, 99.965, 91.667, 0, , , 
66,2023-12-08 08:00:00, 19.1693, 95.0236, 4.957, 86370, 799, 3960.7, 33.1, 28.24, 7, 0, 55.792, 0.138, 0, 0, 19.1693, 95.0236, 4.957, 86370, 799, 3960.7, 33.1, 28.24, 7, 0, 55.792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19.1726, 97, 5.059, 99.965, 99.965, 99.965, 99.965, 100, 0, , , 
66,2023-12-09 08:00:00, 16.4849, 87.3933, 5.301, 86370, 687.1, 3642.7, 32.08, 27.62, 7.96, 0, 51.183, 0.146, 0, 0, 16.4849, 87.3933, 5.301, 86370, 687.1, 3642.7, 32.08, 27.62, 7.96, 0, 51.183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.4905, 88.75, 5.382, 99.965, 99.965, 99.965, 99.965, 100, 0, , , 
66,2023-12-10 08:00:00, 8.0392, 41.5347, 5.167, 39820, 726.8, 3755, 32.81, 28.2, 6.04, 0, 55.613, 0.051, 0, 0, 8.0392, 41.5347, 5.167, 39820, 726.8, 3755, 32.81, 28.2, 6.72, 0, 55.613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.7998, 95.2324, 5.066, 46.088, 46.088, 46.088, 46.088, 100, 0, , , 
