id, timestamp, combined_elec_kwh, combined_heat_kwh, combined_cop, combined_data_length, combined_elec_mean, combined_heat_mean, combined_flowT_mean, combined_returnT_mean, combined_outsideT_mean, combined_roomT_mean, combined_prc_carnot, combined_cooling_kwh, combined_starts, combined_starts_per_hour, running_elec_kwh, running_heat_kwh, running_cop, running_data_length, running_elec_mean, running_heat_mean, running_flowT_mean, running_returnT_mean, running_outsideT_mean, running_roomT_mean, running_prc_carnot, space_elec_kwh, space_heat_kwh, space_cop, space_data_length, space_elec_mean, space_heat_mean, space_flowT_mean, space_returnT_mean, space_outsideT_mean, space_roomT_mean, space_prc_carnot, water_elec_kwh, water_heat_kwh, water_cop, water_data_length, water_elec_mean, water_heat_mean, water_flowT_mean, water_returnT_mean, water_outsideT_mean, water_roomT_mean, water_prc_carnot, from_energy_feeds_elec_kwh, from_energy_feeds_heat_kwh, from_energy_feeds_cop, quality_elec, quality_heat, quality_flowT, quality_returnT, quality_outsideT, quality_roomT, unit_rate_agile, unit_rate_cosy, unit_rate_go
75,2023-10-14 07:00:00, 2.525, 7.844, 3.107, 38160, 238.2, 399.7, 21.15, 21.1, 8.93, 19.27, 20.938, 0.241, 3, 0.28, 2.4234, 7.7273, 3.189, 8030, 1086.5, 3464.3, 38.96, 36.14, 10.24, 20.28, 38.82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5229, 9.592, 3.802, 44.167, 99.988, 99.988, 99.988, 100, 100, , , 
75,2023-10-15 07:00:00, 2.4227, 5.6318, 2.325, 86380, 101, 234.7, 22.05, 21.96, 7.61, 19.61, 31.845, 0.313, 7, 0.29, 2.15, 5.6857, 2.645, 10310, 750.7, 1985.3, 36.83, 34.62, 6.52, 19.15, 31.944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4227, 5.6318, 2.325, 99.977, 99.977, 99.977, 99.977, 95.833, 90.486, , , 
75,2023-10-16 07:00:00, 4.9965, 14.1786, 2.838, 86380, 208.2, 590.9, 25.87, 25.62, 7.35, 19.14, 36.588, 0.312, 10, 0.42, 4.6981, 14.1411, 3.01, 21390, 790.7, 2380, 37.19, 35.02, 7.75, 19.13, 36.497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9966, 14.1786, 2.838, 99.977, 99.977, 99.977, 99.977, 100, 100, , , 
75,2023-10-17 07:00:00, 3.7805, 12.1502, 3.214, 86370, 157.6, 506.4, 25.66, 24.95, 10.34, 19.02, 34.379, 0.151, 10, 0.42, 3.5173, 11.9869, 3.408, 17010, 744.4, 2536.9, 36.11, 33.92, 10.45, 19.04, 36.507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7806, 12.1502, 3.214, 99.965, 99.965, 99.965, 99.965, 100, 100, , , 
75,2023-10-18 07:00:00, 2.2554, 7.1223, 3.158, 86370, 94, 296.9, 25.43, 24.54, 12.42, 19.19, 28.548, 0.046, 12, 0.5, 1.8734, 6.9218, 3.695, 12110, 556.9, 2057.7, 33.21, 30.92, 12.41, 19.16, 34.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2555, 7.1223, 3.158, 99.965, 99.965, 99.965, 99.965, 100, 100, , , 
75,2023-10-19 07:00:00, 2.6879, 10.2847, 3.826, 81840, 118.2, 425.5, 24.98, 24.34, 14.05, 19.62, 29.965, 0.221, 12, 0.53, 2.3152, 9.9932, 4.316, 11900, 700.4, 3023.2, 32.06, 28.86, 14.34, 19.66, 36.792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7261, 10.2083, 3.745, 94.722, 99.965, 99.965, 99.965, 100, 100, , , 
75,2023-10-20 07:00:00, 6.5887, 28.1432, 4.271, 86380, 274.6, 1172.9, 27.19, 26.13, 12.13, 20.21, 41.475, 0.371, 15, 0.63, 6.3152, 27.8573, 4.411, 33350, 681.7, 3007.1, 32.05, 29.21, 11.92, 20.28, 42.769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5888, 28.1432, 4.271, 99.977, 99.977, 99.977, 99.977, 100, 100, , , 
75,2023-10-21 07:00:00, 8.562, 31.8204, 3.716, 80110, 384.8, 1323.6, 26.23, 25.09, 9.82, 20.23, 37.369, 0.374, 11, 0.49, 8.3512, 31.4498, 3.766, 30960, 971.1, 3657, 32.62, 29.31, 9.86, 20.37, 41.076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5985, 31.7551, 3.693, 92.72, 99.965, 99.965, 99.965, 95.833, 100, , , 
75,2023-10-22 07:00:00, 8.4091, 33.7196, 4.01, 86380, 350.5, 1405.3, 27.19, 25.83, 8.93, 20.79, 43.16, 0.204, 13, 0.54, 8.1837, 33.3189, 4.071, 43960, 670.2, 2728.6, 30.64, 28.05, 8.62, 20.73, 43.339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.4092, 33.7196, 4.01, 99.977, 99.977, 99.977, 99.977, 100, 99.931, , , 
75,2023-10-23 07:00:00, 5.6655, 28.5096, 5.032, 86370, 236.1, 1188.3, 26.72, 25.48, 10.4, 20.18, 45.827, 0.012, 16, 0.67, 5.4352, 28.1033, 5.171, 42140, 464.3, 2400.9, 29.41, 26.96, 10.66, 20.12, 46.332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6656, 28.5096, 5.032, 99.965, 99.965, 99.965, 99.965, 100, 100, , , 
