ID,SCOP (Jun 23 to Aug 23),SCOP (Sep 23 to Nov 23),SCOP (Dec 23 to Feb 24),SCOP (Mar 24 to May 24),SCOP (Jun 23 to Jun 24)
1,2.093934532497579,3.6994407331427346,3.712339167955721,3.936505855126934,3.6892275813756283
2,3.719925370752002,4.277082639301114,3.9400428498009994,4.218346372109411,4.077538019241501
3,2.394478263610426,3.2486370931901956,2.8919145545652536,3.3307510564270006,3.0671895045088657
4,3.8626703467560874,4.434586711859255,4.331616433508404,4.545449425942741,4.38437555131277
5,4.812272531508378,4.389362113849042,4.3597403964445345,4.70205831938494,4.4411111835232155
6,2.4537121997925477,3.6813884002366826,3.8407748936396757,3.880843218833515,3.72893493225946
7,1.0169841138418008,4.006904836494837,3.794319666540642,4.194030236780147,3.873775771532649
8,2.877152879275064,4.158275212418295,4.002286143077659,4.34811495795016,4.06310180587258
9,3.034018940210972,3.843115337285326,4.057944841737896,4.23414209910223,3.9813736129394064
10,1.4902177667826284,4.463214952679716,4.4030324200382065,4.724693698646831,4.4039216355283735
12,Data not available,Data not available,3.6804101261033155,3.962734224925756,3.7943009826875165
13,4.1099499677211115,Data not available,Data not available,Data not available,4.1099499677211115
14,Data not available,Data not available,3.31091814063533,3.223217768142766,3.257049099344362
15,4.112637032839864,Data not available,Data not available,4.383747108097061,4.371588803964946
16,1.2078681552365762,4.361107897962989,4.123311785218142,4.495916047837026,4.256748858786806
17,1.4936121312553619,3.5065760135805575,3.495654028900709,3.3032409851484528,3.3551176251140316
20,4.021797852980057,4.014647536139497,Data not available,Data not available,4.019382808148073
21,2.822051931101312,4.000564929156466,4.08527712692328,3.0859616857626144,3.8618877087252907
22,1.6508508260925212,3.0427883419935466,3.2638942885174207,3.233362101868121,3.100380609043395
23,Data not available,Data not available,Data not available,2.7146662646002397,2.7146662646002397
24,2.774633962702282,3.6267292816917966,3.570589917359408,3.9379358300161975,3.6172001321440397
25,Data not available,3.391603929419988,2.9859087455773183,3.531855927633765,3.171289474003653
26,4.018643654175146,4.256383399136429,3.898485107857016,4.038676635402828,4.016445061594587
27,2.3972405366063,3.7895238359053556,3.5748839604296494,3.8816832510703083,3.6614804164685495
31,2.8001512250018283,3.3221868194115602,3.277922941052224,3.2452679514002467,3.2667635206531522
32,2.758209175530688,3.3233911901239606,3.283062020188154,3.4336320785056,3.2766775279138867
33,2.924974038987892,3.2570029411534476,4.332303027998884,4.50229269504801,4.111435467637542
34,3.597696061349975,4.094630516387939,4.027802467100336,4.20004185057849,4.0433293140039925
