ID,SCOP (Jun 23 to Aug 23),SCOP (Sep 23 to Nov 23),SCOP (Dec 23 to Feb 24),SCOP (Mar 24 to May 24),SCOP (Jun 23 to Jun 24)
1,2.994267853248735,3.10379263097679,2.874272969905554,3.145872905742788,3.024253374824628
2,4.324120912130274,3.9124855902160816,3.5419760680291965,3.7455202837500305,3.8181351466256412
3,Data not available,2.366676285687248,2.2136295348829673,2.3836920668910455,2.2957506218355146
4,4.330083067775637,4.163982587013448,3.713140807500435,3.8862542909313107,4.000051512515804
5,Data not available,Data not available,Data not available,Data not available,Data not available
6,Data not available,Data not available,Data not available,Data not available,Data not available
7,Data not available,2.012056675558665,2.212083315803973,2.4220550331183364,2.2375951937180134
8,3.6577523933446052,3.49919009110704,3.337437285625521,3.540213608905896,3.4841671304620436
9,Data not available,Data not available,3.3893148674765583,3.561565404055848,3.4814152435299537
10,Data not available,Data not available,Data not available,Data not available,Data not available
11,Data not available,3.5375337843115813,3.295173916552336,3.314605813047481,3.324023060200978
12,Data not available,Data not available,2.0459667832761608,1.660332201360372,1.9219095063863247
13,Data not available,Data not available,Data not available,Data not available,Data not available
14,Data not available,Data not available,Data not available,Data not available,Data not available
15,Data not available,Data not available,Data not available,Data not available,Data not available
16,Data not available,Data not available,Data not available,Data not available,Data not available
17,Data not available,Data not available,Data not available,2.772792051184947,2.772792051184947
18,Data not available,Data not available,Data not available,Data not available,Data not available
20,Data not available,Data not available,Data not available,Data not available,Data not available
21,Data not available,Data not available,Data not available,Data not available,Data not available
22,Data not available,Data not available,Data not available,Data not available,Data not available
23,Data not available,Data not available,Data not available,Data not available,Data not available
24,Data not available,Data not available,Data not available,Data not available,Data not available
25,Data not available,Data not available,Data not available,Data not available,Data not available
26,Data not available,Data not available,Data not available,Data not available,Data not available
27,Data not available,Data not available,Data not available,Data not available,Data not available
30,Data not available,Data not available,Data not available,Data not available,Data not available
31,Data not available,Data not available,Data not available,Data not available,Data not available
32,Data not available,Data not available,Data not available,Data not available,Data not available
33,Data not available,Data not available,Data not available,Data not available,Data not available
34,Data not available,Data not available,Data not available,Data not available,Data not available
36,Data not available,Data not available,3.8693173846355067,3.6879447753764696,3.713539106153689
37,Data not available,Data not available,Data not available,Data not available,Data not available
38,Data not available,Data not available,Data not available,Data not available,Data not available
39,Data not available,Data not available,Data not available,Data not available,Data not available
40,Data not available,Data not available,Data not available,Data not available,Data not available
41,Data not available,Data not available,Data not available,Data not available,Data not available
43,Data not available,Data not available,Data not available,Data not available,Data not available
44,Data not available,Data not available,2.6494877226903952,2.347859346497533,2.493171431060841
45,Data not available,2.271382678742662,2.558522545953058,2.544490316901828,2.5360284796142154
46,4.352876796095095,4.367674389197143,3.9251844231715283,4.442383263626062,4.230983626944
47,Data not available,Data not available,Data not available,Data not available,Data not available
49,Data not available,Data not available,Data not available,Data not available,Data not available
50,Data not available,Data not available,Data not available,Data not available,Data not available
51,Data not available,Data not available,Data not available,Data not available,Data not available
52,Data not available,Data not available,Data not available,Data not available,Data not available
53,Data not available,Data not available,Data not available,Data not available,Data not available
55,Data not available,Data not available,1.969917925957237,2.803414514355267,2.6937187944758394
56,Data not available,2.6483505602431356,2.745380739520964,3.035001041082603,2.848203096638084
57,Data not available,Data not available,Data not available,Data not available,Data not available
59,Data not available,Data not available,Data not available,Data not available,Data not available
60,Data not available,Data not available,Data not available,Data not available,Data not available
61,Data not available,Data not available,Data not available,Data not available,Data not available
63,Data not available,Data not available,Data not available,Data not available,Data not available
64,Data not available,Data not available,Data not available,Data not available,Data not available
65,Data not available,Data not available,Data not available,Data not available,Data not available
66,Data not available,Data not available,Data not available,Data not available,Data not available
67,Data not available,Data not available,Data not available,Data not available,Data not available
68,Data not available,Data not available,Data not available,Data not available,Data not available
69,Data not available,Data not available,Data not available,Data not available,Data not available
70,Data not available,Data not available,Data not available,Data not available,Data not available
71,Data not available,Data not available,2.464463006625592,2.420377413499704,2.4407500539066542
72,Data not available,Data not available,Data not available,Data not available,Data not available
73,Data not available,Data not available,Data not available,Data not available,Data not available
74,Data not available,Data not available,Data not available,3.3626900828558735,3.3626900828558735
75,Data not available,Data not available,Data not available,Data not available,Data not available
76,Data not available,2.6933461515502812,2.633413266655858,2.8977733795150917,2.756554326781712
77,Data not available,Data not available,Data not available,Data not available,Data not available
78,Data not available,Data not available,Data not available,Data not available,Data not available
79,Data not available,Data not available,Data not available,Data not available,Data not available
80,Data not available,2.597626200641012,2.6179292910681515,2.6807958623441794,2.6428184860678354
81,Data not available,Data not available,Data not available,Data not available,Data not available
82,Data not available,1.77026217756211,1.8428947700275993,1.8609302779200065,1.83407693338611
83,Data not available,Data not available,Data not available,Data not available,Data not available
84,Data not available,Data not available,Data not available,Data not available,Data not available
86,Data not available,Data not available,3.499172921891257,3.634836696445596,3.5739638249863392
87,Data not available,Data not available,Data not available,Data not available,Data not available
88,Data not available,Data not available,Data not available,Data not available,Data not available
90,Data not available,Data not available,Data not available,Data not available,Data not available
95,Data not available,Data not available,Data not available,Data not available,Data not available
96,Data not available,Data not available,Data not available,Data not available,Data not available
97,Data not available,Data not available,Data not available,Data not available,Data not available
99,Data not available,Data not available,2.310019682755885,2.5279847139715574,2.4071162833067077
105,Data not available,Data not available,Data not available,Data not available,Data not available
106,Data not available,Data not available,Data not available,Data not available,Data not available
108,Data not available,Data not available,Data not available,Data not available,Data not available
109,Data not available,Data not available,Data not available,Data not available,Data not available
110,Data not available,Data not available,Data not available,Data not available,Data not available
111,Data not available,Data not available,2.7645216029238986,2.2128925359740235,2.4687964205368127
113,Data not available,Data not available,3.0808047884319065,3.31694326183654,3.19997916344855
114,Data not available,Data not available,3.309388402277355,3.7121599264154255,3.545247142745757
115,Data not available,Data not available,3.0474319549530184,3.426396312589019,3.2172856761468025
116,Data not available,6.67311411992263,3.459008919183495,3.692875744666688,3.5812928332592677
117,Data not available,Data not available,3.1305186211292026,3.351759784310399,3.2477680248851173
118,Data not available,Data not available,Data not available,Data not available,Data not available
120,Data not available,Data not available,2.22230505265649,2.6421662971715354,2.387335475129153
122,Data not available,Data not available,Data not available,Data not available,Data not available
123,Data not available,Data not available,Data not available,Data not available,Data not available
124,Data not available,Data not available,Data not available,Data not available,Data not available
125,Data not available,Data not available,Data not available,Data not available,Data not available
126,Data not available,Data not available,2.780451484630048,2.9072488054212675,2.856228027695953
127,Data not available,Data not available,2.0364705311911027,2.6959314565789856,2.367503966747251
128,Data not available,Data not available,Data not available,Data not available,Data not available
131,Data not available,Data not available,Data not available,Data not available,Data not available
132,Data not available,Data not available,Data not available,Data not available,Data not available
133,Data not available,Data not available,Data not available,Data not available,Data not available
134,Data not available,Data not available,Data not available,Data not available,Data not available
138,Data not available,Data not available,Data not available,Data not available,Data not available
139,Data not available,Data not available,Data not available,Data not available,Data not available
140,Data not available,1.9171601546825876,2.706766490782714,2.9370326387509236,2.792698390408078
143,Data not available,Data not available,Data not available,Data not available,Data not available
144,Data not available,Data not available,Data not available,Data not available,Data not available
146,Data not available,Data not available,Data not available,Data not available,Data not available
147,Data not available,Data not available,Data not available,3.4355842445308653,3.4355842445308653
148,Data not available,Data not available,1.512865190795614,1.9831061231432965,1.8335709364528499
149,Data not available,Data not available,Data not available,Data not available,Data not available
150,Data not available,Data not available,Data not available,Data not available,Data not available
151,Data not available,Data not available,Data not available,Data not available,Data not available
152,Data not available,Data not available,Data not available,Data not available,Data not available
153,Data not available,Data not available,Data not available,Data not available,Data not available
154,Data not available,Data not available,Data not available,Data not available,Data not available
158,Data not available,Data not available,Data not available,Data not available,Data not available
159,Data not available,Data not available,2.2807818462408767,2.8561187121121767,2.7225756627273414
160,Data not available,Data not available,Data not available,Data not available,Data not available
161,Data not available,Data not available,Data not available,Data not available,Data not available
162,Data not available,Data not available,3.098735512434096,2.861828559670091,2.9195465068877704
163,Data not available,Data not available,2.4962404914849277,2.822025191252043,2.763659630020908
167,Data not available,Data not available,Data not available,Data not available,Data not available
169,Data not available,Data not available,Data not available,0.06192556136573362,0.06192556136573362
170,Data not available,Data not available,Data not available,Data not available,Data not available
172,Data not available,Data not available,Data not available,Data not available,Data not available
173,Data not available,Data not available,Data not available,Data not available,Data not available
174,Data not available,Data not available,Data not available,Data not available,Data not available
175,Data not available,Data not available,Data not available,Data not available,Data not available
176,Data not available,Data not available,Data not available,Data not available,Data not available
193,Data not available,Data not available,Data not available,2.199562018981813,2.199562018981813
195,Data not available,Data not available,Data not available,Data not available,Data not available
196,Data not available,Data not available,Data not available,Data not available,Data not available
197,Data not available,Data not available,Data not available,Data not available,Data not available
202,Data not available,Data not available,Data not available,Data not available,Data not available
204,Data not available,Data not available,Data not available,4.179148949989676,4.179148949989676
208,Data not available,Data not available,Data not available,Data not available,Data not available
209,Data not available,Data not available,Data not available,Data not available,Data not available
210,Data not available,Data not available,Data not available,Data not available,Data not available
211,Data not available,Data not available,Data not available,2.902357014086819,2.902357014086819
212,Data not available,Data not available,Data not available,3.1371364807180053,3.1371364807180053
213,Data not available,Data not available,Data not available,Data not available,Data not available
215,Data not available,Data not available,Data not available,Data not available,Data not available
216,Data not available,Data not available,Data not available,Data not available,Data not available
219,Data not available,Data not available,Data not available,Data not available,Data not available
222,Data not available,Data not available,Data not available,3.3113529753828255,3.3113529753828255
223,Data not available,Data not available,Data not available,Data not available,Data not available
224,Data not available,Data not available,Data not available,3.2498811638437872,3.2498811638437872
225,Data not available,Data not available,Data not available,Data not available,Data not available
227,Data not available,Data not available,Data not available,Data not available,Data not available
228,Data not available,Data not available,Data not available,Data not available,Data not available
231,Data not available,Data not available,Data not available,Data not available,Data not available
232,Data not available,Data not available,Data not available,Data not available,Data not available
237,Data not available,Data not available,Data not available,Data not available,Data not available
238,Data not available,Data not available,Data not available,Data not available,Data not available
239,Data not available,Data not available,Data not available,Data not available,Data not available
240,Data not available,Data not available,Data not available,2.226389017573119,2.226389017573119
241,Data not available,Data not available,Data not available,Data not available,Data not available
243,Data not available,Data not available,Data not available,Data not available,Data not available
244,Data not available,Data not available,Data not available,Data not available,Data not available
248,Data not available,Data not available,Data not available,Data not available,Data not available
249,Data not available,Data not available,Data not available,Data not available,Data not available
250,Data not available,Data not available,Data not available,2.509752130006925,2.509752130006925
251,Data not available,Data not available,Data not available,Data not available,Data not available
252,Data not available,Data not available,Data not available,4.187906768331204,4.187906768331204
254,Data not available,Data not available,Data not available,Data not available,Data not available
256,Data not available,Data not available,Data not available,Data not available,Data not available
257,Data not available,Data not available,Data not available,Data not available,Data not available
258,Data not available,Data not available,Data not available,Data not available,Data not available
259,Data not available,Data not available,Data not available,Data not available,Data not available
260,Data not available,Data not available,Data not available,Data not available,Data not available
261,Data not available,Data not available,Data not available,Data not available,Data not available
262,Data not available,Data not available,Data not available,Data not available,Data not available
263,Data not available,Data not available,Data not available,Data not available,Data not available
264,Data not available,Data not available,Data not available,Data not available,Data not available
265,Data not available,Data not available,Data not available,Data not available,Data not available
266,Data not available,Data not available,Data not available,Data not available,Data not available
267,Data not available,Data not available,Data not available,Data not available,Data not available
268,Data not available,Data not available,Data not available,Data not available,Data not available
269,Data not available,Data not available,Data not available,Data not available,Data not available
272,Data not available,Data not available,Data not available,Data not available,Data not available
275,Data not available,Data not available,Data not available,Data not available,Data not available
276,Data not available,Data not available,Data not available,Data not available,Data not available
277,Data not available,Data not available,Data not available,Data not available,Data not available
278,Data not available,Data not available,Data not available,Data not available,Data not available
279,Data not available,Data not available,Data not available,Data not available,Data not available
280,Data not available,Data not available,Data not available,Data not available,Data not available
281,Data not available,Data not available,Data not available,Data not available,Data not available
282,Data not available,Data not available,Data not available,Data not available,Data not available
283,Data not available,Data not available,Data not available,Data not available,Data not available
284,Data not available,Data not available,Data not available,Data not available,Data not available
286,Data not available,Data not available,Data not available,Data not available,Data not available
287,Data not available,Data not available,Data not available,Data not available,Data not available
288,Data not available,Data not available,Data not available,Data not available,Data not available
289,Data not available,Data not available,Data not available,Data not available,Data not available
290,Data not available,Data not available,Data not available,Data not available,Data not available
291,Data not available,Data not available,Data not available,Data not available,Data not available
292,Data not available,Data not available,Data not available,Data not available,Data not available
293,Data not available,Data not available,Data not available,Data not available,Data not available
295,Data not available,Data not available,Data not available,Data not available,Data not available
296,Data not available,Data not available,Data not available,Data not available,Data not available
297,Data not available,Data not available,Data not available,Data not available,Data not available
298,Data not available,Data not available,Data not available,Data not available,Data not available
299,Data not available,Data not available,Data not available,Data not available,Data not available
300,Data not available,Data not available,Data not available,Data not available,Data not available
301,Data not available,Data not available,Data not available,Data not available,Data not available
302,Data not available,Data not available,Data not available,Data not available,Data not available
303,Data not available,Data not available,Data not available,Data not available,Data not available
304,Data not available,Data not available,Data not available,Data not available,Data not available
305,Data not available,Data not available,Data not available,Data not available,Data not available
306,Data not available,Data not available,Data not available,Data not available,Data not available
307,Data not available,Data not available,Data not available,Data not available,Data not available
308,Data not available,Data not available,Data not available,Data not available,Data not available
309,Data not available,Data not available,Data not available,Data not available,Data not available
311,Data not available,Data not available,Data not available,Data not available,Data not available
312,Data not available,Data not available,Data not available,Data not available,Data not available
313,Data not available,Data not available,Data not available,Data not available,Data not available
314,Data not available,Data not available,Data not available,Data not available,Data not available
315,Data not available,Data not available,Data not available,Data not available,Data not available
319,Data not available,Data not available,Data not available,Data not available,Data not available
320,Data not available,Data not available,Data not available,Data not available,Data not available
321,Data not available,Data not available,Data not available,Data not available,Data not available
322,Data not available,Data not available,Data not available,Data not available,Data not available
324,Data not available,Data not available,Data not available,Data not available,Data not available
325,Data not available,Data not available,Data not available,Data not available,Data not available
326,Data not available,Data not available,Data not available,Data not available,Data not available
328,Data not available,Data not available,Data not available,Data not available,Data not available
329,Data not available,Data not available,Data not available,Data not available,Data not available
330,Data not available,Data not available,Data not available,Data not available,Data not available
331,Data not available,Data not available,Data not available,Data not available,Data not available
332,Data not available,Data not available,Data not available,Data not available,Data not available
333,Data not available,Data not available,Data not available,Data not available,Data not available
334,Data not available,Data not available,Data not available,Data not available,Data not available
335,Data not available,Data not available,Data not available,Data not available,Data not available
337,Data not available,Data not available,Data not available,Data not available,Data not available
338,Data not available,Data not available,Data not available,Data not available,Data not available
341,Data not available,Data not available,Data not available,Data not available,Data not available
342,Data not available,Data not available,Data not available,Data not available,Data not available
343,Data not available,Data not available,Data not available,Data not available,Data not available
344,Data not available,Data not available,Data not available,Data not available,Data not available
345,Data not available,Data not available,Data not available,Data not available,Data not available
